Placement ID,Flight ID,CMP,Fill Rate,Time Bound,Mean Latency of Failure,Mean Latency of Success,Standard Deviation of Failure,Standard Deviation of Success
cd824234219b1f1002aa8ae9,3029,0.95,0.0307,2.0,0.5160448313,0.4856046836,0.1844937905,0.1664526502
cd824234219b1f1002aa8ae9,4326,0.49,0.0336,2.0,0.5191140049,0.7136747837,0.1859714966,0
cecf70589440357d1b1bdb28,3028,1.63,0.0297,2.0,0.5138257034,0.6067456404,0.2028777726,0.1728461495
cecf70589440357d1b1bdb28,3029,0.95,0.0369,2.0,0.5280969656,0.4590174471,0.2005021891,0.1807888358
cecf70589440357d1b1bdb28,3031,0.83,0.0328,2.0,0.4353024403,0.5649445057,0.2194254135,0.0401571429
cecf70589440357d1b1bdb28,3034,0.72,0.2291,2.0,0.0122870067,0.0095159824,0.0068235411,0.0010569507
cecf70589440357d1b1bdb28,4050,0.58,0.1118,2.0,0.5291677907,0.5977327426,0.2101695055,0.1780940933
cecf70589440357d1b1bdb28,4203,0.97,0.3286,2.0,0.1765013739,0.3228199482,0.0380845804,0
cecf70589440357d1b1bdb28,4326,0.49,0.036,2.0,0.5443297625,0.4682019353,0.1987190573,0.1451381605
d4b5654fd824127628f18518,3032,0.66,0,2.0,0.4172409773,0.5374560356,0.2709322491,0
d5b297999ddeeaf326ba8cf2,3028,1.63,0,2.0,0.5253580809,0.3274469376,0.2161117359,0
d5b297999ddeeaf326ba8cf2,3029,0.95,0,2.0,0.734513998,0.7183630466,0.0319686059,0
d5b297999ddeeaf326ba8cf2,4326,0.49,0,2.0,0.7191119194,0.34877491,0,0
d689029a12ce5fad7c461743,3028,1.63,0.0421,2.0,0.4567669955,0.715929985,0.1706203684,0
d689029a12ce5fad7c461743,3029,0.95,0.0511,2.0,0.4036139647,0.4099760056,0.154174619,0
d689029a12ce5fad7c461743,4164,0.38,0.3933,2.0,0.6661765575,0.3335486253,0.0308559351,0.3145097205
d689029a12ce5fad7c461743,4326,0.49,0.0511,2.0,0.4850509644,0.7152731419,0.2065907905,0
dc679075dfe44238932d92fb,3028,1.63,0.0171,2.0,0.7161146005,0.7248721123,0.0089763378,0
dc679075dfe44238932d92fb,3029,0.95,0.0211,2.0,0.7114481926,0.4716570377,0,0
e0569b9cd2b0c54ca6da10e2,3287,1.05,0.087,2.0,0.6304492354,0.4095771313,0.1699242024,0
e28a11f8d9784cacd3014695,3029,0.95,0.0265,2.0,0.6019625187,0.3739750385,0.1841120689,0
e28a11f8d9784cacd3014695,3030,1.22,0.0276,2.0,0.4111004074,0.2287769318,0.1965147031,0
e28a11f8d9784cacd3014695,4326,0.49,0.0335,2.0,0.4842040105,0.3210849762,0.1839984154,0
e47cb17b4ccc2c9dc2dd8e0e,3351,1.07,0.1252,2.0,0.5814816819,0.5402050018,0.1767656801,0.2195578208
e47cb17b4ccc2c9dc2dd8e0e,4326,0.49,0.0625,2.0,0.60145654,0.3777699471,0.203261828,0
eac45c130775b738ee084c09,3028,1.63,0.0389,2.0,0.552900589,0.628115654,0.1817337516,0.1958563954
eac45c130775b738ee084c09,3029,0.95,0.0358,2.0,0.529660445,0.8281781673,0.2119141228,0
eac45c130775b738ee084c09,3030,1.22,0.0583,2.0,0.487065347,0.6272630692,0.2705720385,0
eac45c130775b738ee084c09,3354,1.12,0.3829,2.0,0.4878878664,0.669481198,0.181883226,0.1562781135
eac45c130775b738ee084c09,3998,0.67,0.0814,2.0,0.4241216916,0.5328699748,0.1988037379,0.20456539
eac45c130775b738ee084c09,4200,0.41,0.0928,2.0,0.0570671192,0.0756756067,0.0322850997,0.0441950768
fa5d1328dacefebb58319274,3028,1.63,0.0276,2.0,0.5464624733,0.5210105578,0.1961843076,0.1836961001
fa5d1328dacefebb58319274,3029,0.95,0.0336,2.0,0.5567176137,0.5216469765,0.2037682575,0.1785556589
fa5d1328dacefebb58319274,3031,0.83,0.0273,2.0,0.4047069172,0.4066910744,0.1984092685,0.2396575299
fa5d1328dacefebb58319274,3032,0.66,0.0186,2.0,0.3990834717,0.4250679811,0.2025025941,0.1419296842
fa5d1328dacefebb58319274,3034,0.72,0.0705,2.0,0.0098325682,0.0103458529,0.0027166698,0.0035298137
fa5d1328dacefebb58319274,4164,0.38,0.0362,2.0,0.4037837888,0.7458598614,0.2052718315,0
fa5d1328dacefebb58319274,4326,0.49,0.0311,2.0,0.535605214,0.3528353691,0.2042460225,0.0808616282
